KYC Check 03 (Know Your Classmates)
Please click on the face of: Aryan
Response,Via,Screen name,Registered participant,Correct?,Created At
"Click (outside defined region): 49.28%, 67.5%",Activated Multi-Page Survey,Bot,"",No,2026-08-06 13:24:00
Gary,Activated Multi-Page Survey,Juice,"",Yes,2026-08-06 13:24:08
Gary,Activated Multi-Page Survey,guest838,"",Yes,2026-08-06 13:24:09
"Click (outside defined region): 26.67%, 96.36%",Activated Multi-Page Survey,guest222,"",No,2026-08-06 13:24:13
"Click (outside defined region): 55.08%, 73.32%",Activated Multi-Page Survey,fencer,"",No,2026-08-06 13:24:16
Paranav,Activated Multi-Page Survey,LevFin4Life,"",No,2026-08-06 13:24:17
"Click (outside defined region): 49.88%, 75.88%",Activated Multi-Page Survey,Larp,"",No,2026-08-06 13:24:19
"Click (outside defined region): 57.91%, 71.31%",Activated Multi-Page Survey,Romeo,"",No,2026-08-06 13:24:23
"Click (outside defined region): 49.72%, 82.86%",Activated Multi-Page Survey,ishita,"",No,2026-08-06 13:24:23
"Click (outside defined region): 51.31%, 79.58%",Activated Multi-Page Survey,c,"",No,2026-08-06 13:24:28
"Click (outside defined region): 54.49%, 75.75%",Activated Multi-Page Survey,LG,"",No,2026-08-06 13:24:35
"Click (outside defined region): 53.91%, 85.54%",Activated Multi-Page Survey,Juliet,"",No,2026-08-06 13:24:35
"Click (outside defined region): 53.65%, 76.78%",Activated Multi-Page Survey,NY Resident,"",No,2026-08-06 13:24:40
"Click (outside defined region): 50.5%, 78.46%",Activated Multi-Page Survey,Jason,"",No,2026-08-06 13:24:41
Selena,Activated Multi-Page Survey,L,"",No,2026-08-06 13:24:42
"Click (outside defined region): 10.17%, 76.33%",Activated Multi-Page Survey,tiramisu,"",No,2026-08-06 13:24:52
Paranav,Activated Multi-Page Survey,guest410,"",No,2026-08-06 13:24:54
"Click (outside defined region): 12.04%, 80.51%",Activated Multi-Page Survey,guest956,"",No,2026-08-06 13:24:54
Gary,Activated Multi-Page Survey,d,"",Yes,2026-08-06 13:24:54
Akshath,Activated Multi-Page Survey,guest366,"",No,2026-08-06 13:24:55
"Click (outside defined region): 52.54%, 86.38%",Activated Multi-Page Survey,avatarbond,"",No,2026-08-06 13:24:56
"Click (outside defined region): 50.0%, 78.13%",Activated Multi-Page Survey,b,"",No,2026-08-06 13:25:01
Gary,Activated Multi-Page Survey,eljaja,"",Yes,2026-08-06 13:25:03
"Click (outside defined region): 60.99%, 25.6%",Activated Multi-Page Survey,BK,"",No,2026-08-06 13:25:08
Akshath,Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:11
Gary,Activated Multi-Page Survey,will,"",Yes,2026-08-06 13:25:17
Akshath,Activated Multi-Page Survey,Dylan,"",No,2026-08-06 13:25:17
Akshath,Activated Multi-Page Survey,millyrock,"",No,2026-08-06 13:25:17
"Click (outside defined region): 56.12%, 85.26%",Activated Multi-Page Survey,Corporate Banker 2,"",No,2026-08-06 13:25:28
Paranav,Activated Multi-Page Survey,S,"",No,2026-08-06 13:25:34
"Click (outside defined region): 50.14%, 73.69%",Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:37
"Click (outside defined region): 56.52%, 64.31%",Activated Multi-Page Survey,Tesellation,"",No,2026-08-06 13:25:42
Gary,Activated Multi-Page Survey,CorpBanker67,"",Yes,2026-08-06 13:25:42
"Click (outside defined region): 56.63%, 81.18%",Activated Multi-Page Survey,guest702,"",No,2026-08-06 13:25:45
Gary,Activated Multi-Page Survey,Distressed debt ,"",Yes,2026-08-06 13:25:58
"Click (outside defined region): 53.32%, 78.0%",Activated Multi-Page Survey,Responder123,"",No,2026-08-06 13:26:25
"Click (outside defined region): 54.39%, 68.62%",Activated Multi-Page Survey,B,"",No,2026-08-06 13:26:42
"Click (outside defined region): 58.19%, 81.36%",Activated Multi-Page Survey,Corp banker 1,"",No,2026-08-06 13:27:28
""
Please click on the face of: Ishita
Response,Via,Screen name,Registered participant,Correct?,Created At
Ishita,Activated Multi-Page Survey,222,"",Yes,2026-08-06 13:23:54
Ishita,Activated Multi-Page Survey,Sl,"",Yes,2026-08-06 13:24:09
"Click (outside defined region): 19.64%, 82.99%",Activated Multi-Page Survey,guest838,"",No,2026-08-06 13:24:13
Ishita,Activated Multi-Page Survey,fencer,"",Yes,2026-08-06 13:24:20
Priyanka,Activated Multi-Page Survey,guest222,"",No,2026-08-06 13:24:20
Ishita,Activated Multi-Page Survey,Larp,"",Yes,2026-08-06 13:24:23
"Click (outside defined region): 47.91%, 16.29%",Activated Multi-Page Survey,LevFin4Life,"",No,2026-08-06 13:24:24
Ishita,Activated Multi-Page Survey,Juice,"",Yes,2026-08-06 13:24:24
"Click (outside defined region): 23.45%, 82.36%",Activated Multi-Page Survey,ishita,"",No,2026-08-06 13:24:28
Ishita,Activated Multi-Page Survey,Romeo,"",Yes,2026-08-06 13:24:28
"Click (outside defined region): 23.56%, 84.7%",Activated Multi-Page Survey,c,"",No,2026-08-06 13:24:35
Ishita,Activated Multi-Page Survey,LG,"",Yes,2026-08-06 13:24:41
Ishita,Activated Multi-Page Survey,NY Resident,"",Yes,2026-08-06 13:24:46
Priyanka,Activated Multi-Page Survey,L,"",No,2026-08-06 13:24:49
Priyanka,Activated Multi-Page Survey,Juliet,"",No,2026-08-06 13:24:53
Priyanka,Activated Multi-Page Survey,tiramisu,"",No,2026-08-06 13:24:56
"Click (outside defined region): 15.71%, 80.98%",Activated Multi-Page Survey,guest956,"",No,2026-08-06 13:24:57
Priyanka,Activated Multi-Page Survey,Bot,"",No,2026-08-06 13:25:00
Priyanka,Activated Multi-Page Survey,Jason,"",No,2026-08-06 13:25:01
"Click (outside defined region): 25.14%, 79.35%",Activated Multi-Page Survey,avatarbond,"",No,2026-08-06 13:25:02
Priyanka,Activated Multi-Page Survey,guest366,"",No,2026-08-06 13:25:03
Ishita,Activated Multi-Page Survey,b,"",Yes,2026-08-06 13:25:05
"Click (outside defined region): 23.68%, 86.29%",Activated Multi-Page Survey,eljaja,"",No,2026-08-06 13:25:06
Dylan,Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:14
"Click (outside defined region): 11.78%, 81.91%",Activated Multi-Page Survey,BK,"",No,2026-08-06 13:25:19
Ishita,Activated Multi-Page Survey,millyrock,"",Yes,2026-08-06 13:25:21
Priyanka,Activated Multi-Page Survey,Dylan,"",No,2026-08-06 13:25:22
Ishita,Activated Multi-Page Survey,d,"",Yes,2026-08-06 13:25:24
Gary,Activated Multi-Page Survey,Corporate Banker 2,"",No,2026-08-06 13:25:37
Ishita,Activated Multi-Page Survey,S,"",Yes,2026-08-06 13:25:41
Ishita,Activated Multi-Page Survey,Tesellation,"",Yes,2026-08-06 13:25:46
"Click (outside defined region): 23.18%, 80.85%",Activated Multi-Page Survey,will,"",No,2026-08-06 13:25:47
Ishita,Activated Multi-Page Survey,CorpBanker67,"",Yes,2026-08-06 13:25:50
"Click (outside defined region): 16.52%, 86.05%",Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:55
Ishita,Activated Multi-Page Survey,Distressed debt ,"",Yes,2026-08-06 13:26:02
Priyanka,Activated Multi-Page Survey,guest702,"",No,2026-08-06 13:26:07
Ishita,Activated Multi-Page Survey,Responder123,"",Yes,2026-08-06 13:26:32
Ishita,Activated Multi-Page Survey,B,"",Yes,2026-08-06 13:26:47
"Click (outside defined region): 92.37%, 24.61%",Activated Multi-Page Survey,Corp banker 1,"",No,2026-08-06 13:27:36
""
Please click on the face of: Kai
Response,Via,Screen name,Registered participant,Correct?,Created At
Kai,Activated Multi-Page Survey,222,"",Yes,2026-08-06 13:24:03
Kai,Activated Multi-Page Survey,Sl,"",Yes,2026-08-06 13:24:12
Kai,Activated Multi-Page Survey,guest838,"",Yes,2026-08-06 13:24:22
Kai,Activated Multi-Page Survey,Larp,"",Yes,2026-08-06 13:24:26
Kai,Activated Multi-Page Survey,guest222,"",Yes,2026-08-06 13:24:26
Kai,Activated Multi-Page Survey,Juice,"",Yes,2026-08-06 13:24:28
"Click (outside defined region): 9.6%, 26.62%",Activated Multi-Page Survey,fencer,"",No,2026-08-06 13:24:30
Selena,Activated Multi-Page Survey,LevFin4Life,"",No,2026-08-06 13:24:30
Kai,Activated Multi-Page Survey,Romeo,"",Yes,2026-08-06 13:24:31
"Click (outside defined region): 9.95%, 16.29%",Activated Multi-Page Survey,c,"",No,2026-08-06 13:24:38
Kai,Activated Multi-Page Survey,ishita,"",Yes,2026-08-06 13:24:42
Kai,Activated Multi-Page Survey,LG,"",Yes,2026-08-06 13:24:46
Kai,Activated Multi-Page Survey,L,"",Yes,2026-08-06 13:24:53
Kai,Activated Multi-Page Survey,Jason,"",Yes,2026-08-06 13:24:57
Kai,Activated Multi-Page Survey,Juliet,"",Yes,2026-08-06 13:24:58
Karam,Activated Multi-Page Survey,tiramisu,"",No,2026-08-06 13:25:00
Kai,Activated Multi-Page Survey,guest956,"",Yes,2026-08-06 13:25:04
Kai,Activated Multi-Page Survey,Bot,"",Yes,2026-08-06 13:25:04
Kai,Activated Multi-Page Survey,NY Resident,"",Yes,2026-08-06 13:25:05
Kai,Activated Multi-Page Survey,guest366,"",Yes,2026-08-06 13:25:05
"Click (outside defined region): 10.0%, 25.73%",Activated Multi-Page Survey,b,"",No,2026-08-06 13:25:08
Kai,Activated Multi-Page Survey,eljaja,"",Yes,2026-08-06 13:25:09
Kai,Activated Multi-Page Survey,avatarbond,"",Yes,2026-08-06 13:25:09
Kai,Activated Multi-Page Survey,guest410,"",Yes,2026-08-06 13:25:12
Kai,Activated Multi-Page Survey,Sky,"",Yes,2026-08-06 13:25:17
Kai,Activated Multi-Page Survey,BK,"",Yes,2026-08-06 13:25:25
Kai,Activated Multi-Page Survey,millyrock,"",Yes,2026-08-06 13:25:27
"Click (outside defined region): 54.24%, 70.18%",Activated Multi-Page Survey,Dylan,"",No,2026-08-06 13:25:36
Kai,Activated Multi-Page Survey,Corporate Banker 2,"",Yes,2026-08-06 13:25:40
Kai,Activated Multi-Page Survey,d,"",Yes,2026-08-06 13:25:41
Kai,Activated Multi-Page Survey,S,"",Yes,2026-08-06 13:25:47
Kai,Activated Multi-Page Survey,will,"",Yes,2026-08-06 13:25:51
Kai,Activated Multi-Page Survey,Tesellation,"",Yes,2026-08-06 13:25:55
Kai,Activated Multi-Page Survey,CorpBanker67,"",Yes,2026-08-06 13:25:57
Kai,Activated Multi-Page Survey,Distressed debt ,"",Yes,2026-08-06 13:26:06
Kai,Activated Multi-Page Survey,Sky,"",Yes,2026-08-06 13:26:19
"Click (outside defined region): 8.67%, 29.02%",Activated Multi-Page Survey,guest702,"",No,2026-08-06 13:26:21
Dylan,Activated Multi-Page Survey,Responder123,"",No,2026-08-06 13:26:44
Kai,Activated Multi-Page Survey,Corp banker 1,"",Yes,2026-08-06 13:27:40
Selena,Activated Multi-Page Survey,B,"",No,2026-08-06 13:27:48
""
Please click on the face of: Candice
Response,Via,Screen name,Registered participant,Created At
Candice,Activated Multi-Page Survey,Sl,"",2026-08-06 13:24:16
Candice,Activated Multi-Page Survey,222,"",2026-08-06 13:24:27
Candice,Activated Multi-Page Survey,guest838,"",2026-08-06 13:24:28
Akshath,Activated Multi-Page Survey,LevFin4Life,"",2026-08-06 13:24:33
"Click (outside defined region): 25.8%, 38.65%",Activated Multi-Page Survey,guest222,"",2026-08-06 13:24:34
"Click (outside defined region): 26.27%, 27.62%",Activated Multi-Page Survey,Romeo,"",2026-08-06 13:24:39
Akshath,Activated Multi-Page Survey,Larp,"",2026-08-06 13:24:41
"Click (outside defined region): 15.18%, 21.41%",Activated Multi-Page Survey,c,"",2026-08-06 13:24:42
"Click (outside defined region): 24.29%, 35.66%",Activated Multi-Page Survey,fencer,"",2026-08-06 13:24:42
Candice,Activated Multi-Page Survey,Juice,"",2026-08-06 13:24:47
Cailin,Activated Multi-Page Survey,ishita,"",2026-08-06 13:24:51
"Click (outside defined region): 48.41%, 87.6%",Activated Multi-Page Survey,L,"",2026-08-06 13:24:59
Candice,Activated Multi-Page Survey,LG,"",2026-08-06 13:25:00
Candice,Activated Multi-Page Survey,Juliet,"",2026-08-06 13:25:03
"Click (outside defined region): 27.68%, 29.13%",Activated Multi-Page Survey,tiramisu,"",2026-08-06 13:25:09
Candice,Activated Multi-Page Survey,Bot,"",2026-08-06 13:25:09
Ishita,Activated Multi-Page Survey,guest366,"",2026-08-06 13:25:12
Candice,Activated Multi-Page Survey,eljaja,"",2026-08-06 13:25:14
Candice,Activated Multi-Page Survey,NY Resident,"",2026-08-06 13:25:15
"Click (outside defined region): 8.12%, 20.48%",Activated Multi-Page Survey,guest956,"",2026-08-06 13:25:15
Candice,Activated Multi-Page Survey,guest410,"",2026-08-06 13:25:18
"Click (outside defined region): 28.04%, 32.7%",Activated Multi-Page Survey,Jason,"",2026-08-06 13:25:19
"Click (outside defined region): 12.24%, 14.51%",Activated Multi-Page Survey,Sky,"",2026-08-06 13:25:27
Cailin,Activated Multi-Page Survey,avatarbond,"",2026-08-06 13:25:33
"Click (outside defined region): 4.71%, 32.11%",Activated Multi-Page Survey,BK,"",2026-08-06 13:25:33
Cailin,Activated Multi-Page Survey,millyrock,"",2026-08-06 13:25:38
Sydney,Activated Multi-Page Survey,Dylan,"",2026-08-06 13:25:42
Cailin,Activated Multi-Page Survey,d,"",2026-08-06 13:25:46
Akshath,Activated Multi-Page Survey,Corporate Banker 2,"",2026-08-06 13:25:51
"Click (outside defined region): 51.41%, 87.38%",Activated Multi-Page Survey,CorpBanker67,"",2026-08-06 13:26:00
Candice,Activated Multi-Page Survey,S,"",2026-08-06 13:26:02
Cailin,Activated Multi-Page Survey,Tesellation,"",2026-08-06 13:26:04
Candice,Activated Multi-Page Survey,will,"",2026-08-06 13:26:22
Candice,Activated Multi-Page Survey,Distressed debt ,"",2026-08-06 13:26:34
Sydney,Activated Multi-Page Survey,guest702,"",2026-08-06 13:26:36
Cailin,Activated Multi-Page Survey,b,"",2026-08-06 13:26:43
Candice,Activated Multi-Page Survey,Sky,"",2026-08-06 13:26:45
"Click (outside defined region): 58.19%, 38.17%",Activated Multi-Page Survey,Corp banker 1,"",2026-08-06 13:27:46
Candice,Activated Multi-Page Survey,B,"",2026-08-06 13:27:57
""
